Game;Time;Subject;Group;GrSubject;Type;Gain;Penalty;x;s1;s2;s3;AcceptAdvice;CalcCount;CalcAdviceCount;UseHelp;
2;7;5;1;2;9;7,154599355;-0,018218071;41,92793783;31,875;60;23,125;;;;;
2;7;3;1;1;1;6,467117816;-0,193065789;38,36372884;55;34;26;;;;;
2;7;6;1;3;25;7,515832894;0,21128386;34,70833333;28,21618652;31,78381348;55;;;;;
2;8;5;1;2;9;7,131753468;0,005005834;41,93333333;28,05404663;60;26,94595337;;;;;
2;8;6;1;3;25;7,755214254;0,075195556;36,31531779;28,2;31,8;55;;;;;
2;8;3;1;1;1;6,224414022;-0,080201389;36,75134888;54;34;27;;;;;
2;9;6;1;3;25;7,758991194;0,072568889;36,33333333;28,2;31,8;55;;;;;
2;9;5;1;2;9;7,193425599;-0,033351111;42,26666667;27;60;28;;;;;
2;9;3;1;1;1;6,154771718;-0,039217778;36,4;54;35;26;;;;;
2;10;3;1;1;1;6,121697158;0,180418889;38,71666667;53;35;27;;;;;
2;10;5;1;2;9;7,229617914;-0,452204444;36,93333333;36,65;42,3;36,05;;;;;
2;10;6;1;3;25;7,750059619;0,271785556;39,35;26,5;33,5;55;;;;;
2;11;3;1;1;1;6,091626381;0,150034722;37,95833333;53;27,1875;34,8125;;;;;
2;11;6;1;3;25;8,087309765;0,086581597;41,8125;26,5;33,5;55;;;;;
2;11;5;1;2;9;6,887117554;-0,236616319;35,22916667;34,375;45;35,625;;;;;
2;12;5;1;2;9;6,951528446;-0,127551111;37,56666667;30;49;36;;;;;
2;12;6;1;3;25;8,164630555;0,016648889;41,93333333;26,5;33,5;55;;;;;
2;12;3;1;1;1;5,930620765;0,110902222;35,5;50;30,2;34,8;;;;;
2;13;3;1;1;1;5,877456329;0,223773056;36,225;54;30,2;30,8;;;;;
2;13;6;1;3;25;8,122251308;-0,047083611;40,20833333;26,5;33,5;55;;;;;
2;13;5;1;2;9;7,073548633;-0,176689444;38,56666667;28,175;52;34,825;;;;;
2;14;6;1;3;25;7,770928291;0,179438576;38,20833333;29,99375;30,00625;55;;;;;
2;14;3;1;1;1;6,148964581;0,100535399;38,05625;53;36,2;25,8;;;;;
2;14;5;1;2;9;7,189056163;-0,279973976;38,73541667;31,175;50;33,825;;;;;
2;15;3;1;1;1;6,389586431;-0,065031111;39;52;36,2;26,8;;;;;
2;15;5;1;2;9;7,152415862;-0,243484444;38,73333333;35;50;30;;;;;
2;15;6;1;3;25;7,5824075;0,308515556;37,26666667;30;30;55;;;;;
2;16;3;1;1;1;6,429173602;0,120635556;41,9;53;35,2;26,8;;;;;
2;16;5;1;2;9;6,98924092;-0,293471111;35,83333333;40;40;35;;;;;
2;16;6;1;3;25;7,7180875;0,172835556;37,26666667;32,7;32,3;50;;;;;
2;17;5;1;2;9;6,520245792;1,106461667;49,16666667;19,725;80;15,275;;;;;
2;17;3;1;1;1;6,699149797;-0,687355833;35,14166667;53;35,2;26,8;;;;;
2;17;6;1;3;25;7,881790784;-0,419105833;30,69166667;32,7;32,3;50;;;;;
2;18;6;1;3;25;7,805138843;-0,253648924;32,025;19,38125;40,61875;55;;;;;
2;18;3;1;1;1;5,879199497;-0,248739184;30,70208333;53;36,2;25,8;;;;;
2;18;5;1;2;9;7,325313769;0,502388108;52,27291667;19,725;80;15,275;;;;;
2;19;6;1;3;25;8,469689163;-0,715019871;35,13489583;19,4;40,6;55;;;;;
2;19;3;1;1;1;5,483284889;0,018088046;29,26510417;53;31,2;30,8;;;;;
2;19;5;1;2;9;7,023171801;0,696931825;50,6;15,3953125;80;19,6046875;;;;;
2;20;3;1;1;1;5,524847506;0,370065556;33,75;53;29,2;32,8;;;;;
2;20;6;1;3;25;8,081910016;0,049305556;41,11666667;19,4;40,6;55;;;;;
2;20;5;1;2;9;7,428888451;-0,419371111;40,13333333;28,85;50,6;35,55;;;;;
2;21;3;1;1;1;5,512402848;0,311398889;32,91666667;51;31,2;32,8;;;;;
2;21;5;1;2;9;7,43921595;-0,382304444;40,8;28,35;50,6;36,05;;;;;
2;21;6;1;3;25;8,070552135;0,070905556;41,28333333;19,4;40,6;55;;;;;
2;22;6;1;3;25;8,079448053;0,072238889;41,45;19,4;40,6;55;;;;;
2;22;3;1;1;1;5,487516176;0,293198889;32,41666667;50;32,2;32,8;;;;;
2;22;5;1;2;9;7,445927403;-0,365437778;41,13333333;27,85;50,6;36,55;;;;;
2;23;6;1;3;25;8,069761412;0,086779931;41,52916667;19,4;40,6;55;;;;;
2;23;3;1;1;1;5,496344807;0,256915139;32,1;49;32,9125;33,0875;;;;;
2;23;5;1;2;9;7,440936318;-0,343695069;41,37083333;27,9;50,6;36,5;;;;;
2;24;5;1;2;9;7,268209697;-0,410124444;38,03333333;27,9;50,6;36,5;;;;;
2;24;3;1;1;1;5,065634785;0,390248889;28,76666667;39;22,9;23,1;;;;;
2;24;6;1;3;25;7,92996721;0,019875556;38,2;19,4;40,6;55;;;;;
2;25;6;1;3;25;8,106571852;0,082852222;42,06666667;19,4;40,6;55;;;;;
2;25;5;1;2;9;7,416617842;-0,295639444;41,70833333;27,275;50,6;37,125;;;;;
2;25;3;1;1;1;5,46391957;0,212787222;31,225;47;33,925;34,075;;;;;
3;1;2;1;2;9;-20303,66833;20322,41667;342,5;-442,5;1000;-442,5;1;0;0;;
3;1;1;1;1;1;-29853,36667;19853,36667;-100;115;0;0;1;0;0;;
3;1;3;1;3;25;-29824,21667;19824,21667;-127,5;27,5;27,5;60;1;0;0;;
3;2;3;1;3;25;-9894,569716;9904,816667;80;327,5;-267,5;55;0;24;12;;
3;2;2;1;2;9;-20076,77917;10076,77917;-217,5;0;115;0;0;2;25;;
3;2;1;1;1;1;-10002,48248;10018,40417;252,5;430;-500;185;0;13;8;;
3;3;2;1;2;9;-20137,33633;20159,48733;481,6666667;-313,125;1000;-571,875;1;0;7;;
3;3;1;1;1;1;-30005,28394;20005,28394;-186,875;115;60;-60;0;5;5;;
3;3;3;1;3;25;-29835,22873;19835,22873;-180,625;-362,5;385;90;1;2;22;;
3;4;2;1;2;9;-20138,28692;20159,98177;461,6666667;-511,875;1000;-373,125;1;1;13;;
3;4;1;1;1;1;-30075,01797;20075,01797;-272,2916667;57,5;0;57,5;0;1;0;;
3;4;3;1;3;25;-29765,00026;19765,00026;-88,54166667;-362,5;385;50;0;3;2;;
3;5;2;1;2;9;-9933,96725;9947,221181;166,6666667;-152,5;115;53,75;1;0;1;;
3;5;3;1;3;25;-10027,46112;10036,33524;53,75;-362,5;385;50;0;0;4;;
3;5;1;1;1;1;-20016,44358;10016,44358;-152,5;57,5;0;57,5;0;0;1;;
3;6;2;1;2;9;-9933,96725;9947,221181;166,6666667;-152,5;115;53,75;1;0;0;;
3;6;3;1;3;25;-10027,46112;10036,33524;53,75;-362,5;385;50;0;0;0;;
3;6;1;1;1;1;-20016,44358;10016,44358;-152,5;57,5;0;57,5;0;0;0;;
4;1;3;1;3;25;9,973502692;-4,2;8,333333333;45;45;25;1;0;0;;
4;1;1;1;1;1;5,271114796;2,1;53,33333333;115;0;0;1;0;0;;
4;1;2;1;2;9;5,795146188;2,1;53,33333333;0;115;0;1;0;0;;
4;2;2;1;2;9;7,995283479;0,916319444;70,41666667;25;115;-25;1;0;7;;
4;2;1;1;1;1;7,946841868;-1,351388889;42,5;65;58,75;-8,75;1;0;14;;
4;2;3;1;3;25;4,769095554;0,435069444;2,083333333;37,5;37,5;40;1;0;1;;
4;3;2;1;2;9;9,065102983;0,241032986;77,60416667;18,3125;114;-17,3125;1;0;2;;
4;3;1;1;1;1;6,103456441;-0,051597222;35,625;69;57,375;-11,375;1;0;7;;
4;3;3;1;3;25;5,363489623;-0,189435764;1,770833333;19,5625;61,4375;34;1;0;0;;
4;4;2;1;2;9;-9991,095534;9999,643499;64,06770833;17,484375;113;-15,484375;1;0;3;;
4;4;3;1;3;25;-19997,84918;9997,849183;-0,057291667;20,484375;62,515625;32;1;0;0;;
4;4;1;1;1;1;-9995,296937;10002,50732;50,98958333;115;16,6875;-16,6875;1;0;10;;
4;5;3;1;3;25;7,901412336;-2,820171305;0,819010417;41,69921875;40,30078125;33;1;0;0;;
4;5;1;1;1;1;6,837201697;1,105136068;62,08072917;115;0;0;0;1;1;;
4;5;2;1;2;9;6,101630319;1,715035238;52,10026042;29,54296875;116;-30,54296875;1;0;1;;
4;6;3;1;3;25;-19997,3989;9997,398901;-0,127278646;48,13574219;33,86425781;33;1;0;0;;
4;6;2;1;2;9;-9994,299315;10002,00908;50,44042969;30,92480469;115;-30,92480469;1;0;7;;
4;6;1;1;1;1;-9992,48728;10000,59202;64,68684896;115;2,45703125;-2,45703125;1;0;1;;
4;7;2;1;2;9;5,393207098;2,109749133;47,29435221;32,54296875;113;-30,54296875;1;0;5;;
4;7;1;1;1;1;7,284653914;0,85291149;65,2199707;115;-5;5;0;1;1;;
4;7;3;1;3;25;8,20533905;-2,962660624;2,485677083;48,11694336;33,88305664;33;1;0;0;;
4;8;3;1;3;25;-19996,87692;9996,876924;-7,745422363;62,38574219;42,61425781;10;1;0;0;;
4;8;1;1;1;1;-9992,625323;10001,03494;69,72165934;115;2,45703125;-2,45703125;1;0;2;;
